Eastern Date Hour,Eastern Date Hour Time Zone,Zone Name,Zone PTID,DAM Zonal LBMP,DAM Zonal Losses,DAM Zonal Congestion,DAM Zonal Price Version
1/1/2017 0:00,EST,LONGIL,61762,34.05,1.65,-20.07,1
1/1/2017 1:00,EST,LONGIL,61762,32.24,0.99,-22.9,1
1/1/2017 2:00,EST,LONGIL,61762,29.33,0.74,-21.66,1
1/1/2017 3:00,EST,LONGIL,61762,25.11,0.75,-17.42,1
1/1/2017 4:00,EST,LONGIL,61762,26.99,0.71,-19.02,1
1/1/2017 5:00,EST,LONGIL,61762,25.74,0.84,-17.08,1
1/1/2017 6:00,EST,LONGIL,61762,24.27,1.21,-12.86,1
1/1/2017 7:00,EST,LONGIL,61762,27.53,1.11,-16.42,1
1/1/2017 8:00,EST,LONGIL,61762,30.75,1.47,-16.51,1
1/1/2017 9:00,EST,LONGIL,61762,35.73,1.87,-18.89,1
1/1/2017 10:00,EST,LONGIL,61762,31.93,2.21,-12.75,1
1/1/2017 11:00,EST,LONGIL,61762,30.92,2.44,-9.44,1
1/1/2017 12:00,EST,LONGIL,61762,32.2,2.47,-10.7,1
1/1/2017 13:00,EST,LONGIL,61762,30.33,2.42,-8.55,1
1/1/2017 14:00,EST,LONGIL,61762,30.52,2.61,-7.36,1
1/1/2017 15:00,EST,LONGIL,61762,30.72,3.1,-5.15,1
1/1/2017 16:00,EST,LONGIL,61762,36.39,4.51,-0.76,1
1/1/2017 17:00,EST,LONGIL,61762,52.39,5.87,-5.15,1
1/1/2017 18:00,EST,LONGIL,61762,45.29,5.43,-2.93,1
1/1/2017 19:00,EST,LONGIL,61762,40.76,5.06,-0.02,1
1/1/2017 20:00,EST,LONGIL,61762,38.44,4.83,-0.76,1
1/1/2017 21:00,EST,LONGIL,61762,36.26,3.78,-5.46,1
1/1/2017 22:00,EST,LONGIL,61762,32.26,2.92,-5.98,1
1/1/2017 23:00,EST,LONGIL,61762,30.2,2.77,-2.67,1
1/2/2017 0:00,EST,LONGIL,61762,39.33,3.3,-10.81,1
1/2/2017 1:00,EST,LONGIL,61762,35.47,2.16,-14.33,1
1/2/2017 2:00,EST,LONGIL,61762,30.38,2.06,-8.9,1
1/2/2017 3:00,EST,LONGIL,61762,27.55,1.6,-11.01,1
1/2/2017 4:00,EST,LONGIL,61762,30.14,2,-8.9,1
1/2/2017 5:00,EST,LONGIL,61762,30.47,2.48,-6.19,1
1/2/2017 6:00,EST,LONGIL,61762,32.95,3.08,-5.8,1
1/2/2017 7:00,EST,LONGIL,61762,36.2,2.23,-16.38,1
1/2/2017 8:00,EST,LONGIL,61762,39.54,2.29,-19.52,1
1/2/2017 9:00,EST,LONGIL,61762,44.08,2.46,-21.15,1
1/2/2017 10:00,EST,LONGIL,61762,39.69,2.83,-14.59,1
1/2/2017 11:00,EST,LONGIL,61762,40.11,3.36,-11.33,1
1/2/2017 12:00,EST,LONGIL,61762,40.18,3.41,-10.52,1
1/2/2017 13:00,EST,LONGIL,61762,38.41,3.52,-7.78,1
1/2/2017 14:00,EST,LONGIL,61762,36.79,3.33,-9.87,1
1/2/2017 15:00,EST,LONGIL,61762,37.73,3.35,-10.64,1
1/2/2017 16:00,EST,LONGIL,61762,46.23,5.01,-7.39,1
1/2/2017 17:00,EST,LONGIL,61762,67.34,7.49,-8.89,1
1/2/2017 18:00,EST,LONGIL,61762,60.7,6.31,-11.45,1
1/2/2017 19:00,EST,LONGIL,61762,55.2,5.56,-12.57,1
1/2/2017 20:00,EST,LONGIL,61762,41.52,4.9,-4.81,1
1/2/2017 21:00,EST,LONGIL,61762,37.7,3.96,-8.01,1
1/2/2017 22:00,EST,LONGIL,61762,32.67,2.18,-12.6,1
1/2/2017 23:00,EST,LONGIL,61762,29.05,2.08,-9.87,1
1/3/2017 0:00,EST,LONGIL,61762,31.18,2.02,-10.97,1
1/3/2017 1:00,EST,LONGIL,61762,29.82,1.4,-14.25,1
1/3/2017 2:00,EST,LONGIL,61762,27.79,1.24,-13.94,1
1/3/2017 3:00,EST,LONGIL,61762,27.69,1.32,-13.17,1
1/3/2017 4:00,EST,LONGIL,61762,28.61,1.29,-14.29,1
1/3/2017 5:00,EST,LONGIL,61762,30.28,2.35,-7.99,1
1/3/2017 6:00,EST,LONGIL,61762,36.85,3.59,-6.02,1
1/3/2017 7:00,EST,LONGIL,61762,42.39,3.67,-9.15,1
1/3/2017 8:00,EST,LONGIL,61762,45.23,3.75,-11.72,1
1/3/2017 9:00,EST,LONGIL,61762,48.71,3.57,-16.34,1
1/3/2017 10:00,EST,LONGIL,61762,43.77,4.09,-8.48,1
1/3/2017 11:00,EST,LONGIL,61762,43.71,4.23,-6.67,1
1/3/2017 12:00,EST,LONGIL,61762,40.87,3.92,-6.09,1
1/3/2017 13:00,EST,LONGIL,61762,40.8,4.15,-5.88,1
1/3/2017 14:00,EST,LONGIL,61762,40.05,4.03,-5.47,1
1/3/2017 15:00,EST,LONGIL,61762,42.52,4.05,-9.35,1
1/3/2017 16:00,EST,LONGIL,61762,51.03,4.9,-12.83,1
1/3/2017 17:00,EST,LONGIL,61762,64.79,7.08,-8.88,1
1/3/2017 18:00,EST,LONGIL,61762,59,6.56,-8.69,1
1/3/2017 19:00,EST,LONGIL,61762,55.93,6.1,-8.88,1
1/3/2017 20:00,EST,LONGIL,61762,43.48,5.27,-3.29,1
1/3/2017 21:00,EST,LONGIL,61762,37.66,4.15,-3.43,1
1/3/2017 22:00,EST,LONGIL,61762,33.08,2.87,-5.88,1
1/3/2017 23:00,EST,LONGIL,61762,29.04,2.29,-4.04,1
1/4/2017 0:00,EST,LONGIL,61762,31.78,2.35,-9.01,1
1/4/2017 1:00,EST,LONGIL,61762,28.9,1.63,-10.99,1
1/4/2017 2:00,EST,LONGIL,61762,28.51,1.34,-13.39,1
1/4/2017 3:00,EST,LONGIL,61762,28.54,1.41,-12.74,1
1/4/2017 4:00,EST,LONGIL,61762,29.25,1.36,-13.86,1
1/4/2017 5:00,EST,LONGIL,61762,30.55,2.15,-9.01,1
1/4/2017 6:00,EST,LONGIL,61762,40.96,3.56,-10.2,1
1/4/2017 7:00,EST,LONGIL,61762,45.64,4.22,-10.18,1
1/4/2017 8:00,EST,LONGIL,61762,46.2,4.68,-9.46,1
1/4/2017 9:00,EST,LONGIL,61762,48.71,4.26,-15.09,1
1/4/2017 10:00,EST,LONGIL,61762,44.28,4.3,-10.16,1
1/4/2017 11:00,EST,LONGIL,61762,43.45,4.34,-10.33,1
1/4/2017 12:00,EST,LONGIL,61762,42.24,4.15,-11.11,1
1/4/2017 13:00,EST,LONGIL,61762,42.08,4,-12.1,1
1/4/2017 14:00,EST,LONGIL,61762,41.24,4.17,-10.7,1
1/4/2017 15:00,EST,LONGIL,61762,42.82,3.87,-14.31,1
1/4/2017 16:00,EST,LONGIL,61762,47.59,4.78,-12.38,1
1/4/2017 17:00,EST,LONGIL,61762,56.37,7.15,-3.97,1
1/4/2017 18:00,EST,LONGIL,61762,50.54,6.5,-3.66,1
1/4/2017 19:00,EST,LONGIL,61762,49.29,5.37,-10.14,1
1/4/2017 20:00,EST,LONGIL,61762,46.7,4.81,-11.85,1
1/4/2017 21:00,EST,LONGIL,61762,42.38,4.02,-12.56,1
1/4/2017 22:00,EST,LONGIL,61762,39.56,2.76,-15.26,1
